team1,setswon1,team2,setswon2
ADU,3,UE,0
NU,3,ADMU,0
UP,1,FEU,3
UST,2,DLSU,3
ADU,2,NU,3
FEU,0,UST,3
ADMU,3,UE,1
DLSU,3,UP,0
FEU,1,ADU,3
NU,2,UST,3
UE,1,UP,3
ADMU,0,DLSU,3
DLSU,3,UE,0
ADMU,2,FEU,3
UST,0,ADU,3
NU,3,UP,1
FEU,0,DLSU,3
UP,0,UST,3
NU,3,UE,0
ADU,3,ADMU,0
UE,2,FEU,3
UST,3,ADMU,0
UE,1,UST,3
FEU,0,NU,3
DLSU,3,ADU,1
ADMU,3,UP,0
ADU,3,UP,0
NU,0,DLSU,3
ADMU,3,UE,1
UST,1,ADU,3
FEU,3,UP,0
DLSU,3,NU,0
UE,0,UST,3
FEU,0,DLSU,3
NU,3,UP,0
ADU,3,ADMU,0
UE,1,FEU,3
DLSU,1,UST,3
UP,0,ADMU,3
NU,3,ADU,0
UE,1,ADU,3
ADMU,1,UST,3
FEU,0,NU,3
DLSU,3,UP,0
FEU,3,ADMU,1
DLSU,3,ADU,2
ADU,3,UP,1
NU,3,UE,0
UST,3,FEU,1
DLSU,3,ADMU,0
UST,1,NU,3
UP,2,UE,3
NU,3,ADMU,2
UE,0,DLSU,3
ADU,3,FEU,1
UP,2,UST,3
